Chemical_Shift,Count
-15.8,1
-13.3,5
-12.2,1
-8.7,1
-7.9,1
-6.3,5
-5.7,1
-5.4,2
-5.3,1
-5.2,9
-5.1,2
-5.0,5
-4.9,1
-3.7,1
-2.0,1
-1.8,1
-1.6,4
-1.4,1
-1.3,6
-1.2,2
-1.1,1
-0.9,1
-0.8,2
-0.7,2
-0.5,1
-0.4,1
-0.3,5
-0.2,1
-0.1,2
0.0,3
0.1,14
0.3,7
0.4,3
0.5,1
0.6,1
0.8,3
0.9,4
1.0,5
1.1,19
1.2,5
1.3,13
1.4,5
1.5,2
1.6,1
1.7,4
1.8,1
1.9,3
2.0,9
2.1,2
2.2,2
2.3,2
2.4,10
2.5,11
2.6,10
2.7,7
2.8,8
2.9,9
3.0,9
3.1,12
3.2,29
3.3,32
3.4,37
3.5,55
3.6,29
3.7,188
3.8,17
3.9,27
4.0,21
4.1,71
4.2,112
4.3,269
4.4,85
4.5,99
4.6,49
4.7,34
4.8,42
4.9,36
5.0,32
5.1,102
5.2,161
5.3,54
5.4,98
5.5,93
5.6,85
5.7,38
5.8,36
5.9,40
6.0,57
6.1,39
6.2,47
6.3,47
6.4,87
6.5,85
6.6,97
6.7,76
6.8,119
6.9,106
7.0,56
7.1,45
7.2,61
7.3,149
7.4,239
7.5,181
7.6,142
7.7,185
7.8,258
7.9,251
8.0,404
8.1,315
8.2,388
8.3,407
8.4,458
8.5,290
8.6,415
8.7,312
8.8,379
8.9,247
9.0,243
9.1,234
9.2,318
9.3,301
9.4,237
9.5,299
9.6,248
9.7,358
9.8,235
9.9,322
10.0,333
10.1,248
10.2,269
10.3,254
10.4,563
10.5,426
10.6,381
10.7,585
10.8,363
10.9,337
11.0,375
11.1,318
11.2,505
11.3,626
11.4,725
11.5,791
11.6,494
11.7,507
11.8,491
11.9,902
12.0,674
12.1,532
12.2,468
12.3,559
12.4,648
12.5,707
12.6,880
12.7,648
12.8,500
12.9,551
13.0,759
13.1,1028
13.2,755
13.3,757
13.4,787
13.5,755
13.6,1194
13.7,1269
13.8,2508
13.9,2522
14.0,4080
14.1,9890
14.2,5435
14.3,6395
14.4,2063
14.5,1349
14.6,1018
14.7,2039
14.8,1618
14.9,1012
15.0,1067
15.1,950
15.2,1585
15.3,1159
15.4,857
15.5,1458
15.6,845
15.7,707
15.8,742
15.9,1034
16.0,1195
16.1,801
16.2,1163
16.3,1230
16.4,1276
16.5,781
16.6,641
16.7,928
16.8,711
16.9,659
17.0,591
17.1,681
17.2,705
17.3,787
17.4,792
17.5,823
17.6,743
17.7,831
17.8,865
17.9,957
18.0,1257
18.1,1305
18.2,996
18.3,1054
18.4,1026
18.5,945
18.6,864
18.7,916
18.8,868
18.9,988
19.0,809
19.1,1006
19.2,1152
19.3,1256
19.4,953
19.5,968
19.6,1169
19.7,999
19.8,1630
19.9,1313
20.0,1080
20.1,1351
20.2,1503
20.3,1393
20.4,1560
20.5,1612
20.6,1533
20.7,1981
20.8,2064
20.9,2085
21.0,2262
21.1,2545
21.2,1628
21.3,1901
21.4,2146
21.5,1353
21.6,2065
21.7,1267
21.8,1499
21.9,1425
22.0,1735
22.1,1547
22.2,1477
22.3,1855
22.4,1884
22.5,2524
22.6,2607
22.7,4630
22.8,2422
22.9,1897
23.0,2226
23.1,2078
23.2,1735
23.3,1468
23.4,1857
23.5,1767
23.6,1710
23.7,1648
23.8,1767
23.9,2813
24.0,2202
24.1,1886
24.2,1467
24.3,1558
24.4,1465
24.5,1628
24.6,2061
24.7,1648
24.8,1693
24.9,1745
25.0,2302
25.1,2354
25.2,1851
25.3,2105
25.4,1760
25.5,2650
25.6,1939
25.7,2086
25.8,2048
25.9,1811
26.0,1963
26.1,2105
26.2,2363
26.3,2729
26.4,2850
26.5,2541
26.6,2233
26.7,2240
26.8,2029
26.9,1975
27.0,1843
27.1,1907
27.2,2121
27.3,2194
27.4,2103
27.5,2036
27.6,2242
27.7,2323
27.8,2642
27.9,3041
28.0,2556
28.1,2393
28.2,4063
28.3,4661
28.4,4758
28.5,2289
28.6,2384
28.7,2611
28.8,2716
28.9,2866
29.0,2778
29.1,2949
29.2,3015
29.3,3935
29.4,4709
29.5,4131
29.6,4042
29.7,4061
29.8,2822
29.9,2367
30.0,2782
30.1,2903
30.2,2605
30.3,2062
30.4,1881
30.5,2093
30.6,2350
30.7,2071
30.8,2594
30.9,1962
31.0,1976
31.1,2132
31.2,2674
31.3,2399
31.4,2176
31.5,2518
31.6,2338
31.7,2285
31.8,3410
31.9,2205
32.0,1800
32.1,1819
32.2,2141
32.3,2090
32.4,2321
32.5,2065
32.6,2053
32.7,2212
32.8,1994
32.9,2078
33.0,1851
33.1,1702
33.2,1884
33.3,1798
33.4,1847
33.5,1891
33.6,1932
33.7,1990
33.8,2065
33.9,1983
34.0,2018
34.1,2063
34.2,1693
34.3,2164
34.4,1845
34.5,1831
34.6,1797
34.7,1844
34.8,1807
34.9,1892
35.0,1822
35.1,1578
35.2,1608
35.3,1760
35.4,1607
35.5,1612
35.6,1692
