Value,Count
0.0,345
0.01,10026
0.02,118736
0.03,236296
0.04,288909
0.05,257710
0.06,267124
0.07,181468
0.08,129830
0.09,88870
0.1,67819
0.11,44043
0.12,26449
0.13,15921
0.14,9820
0.15,6715
0.16,4994
0.17,3611
0.18,2719
0.19,1970
0.2,1525
0.21,1185
0.22,980
0.23,759
0.24,911
0.25,1110
0.26,722
0.27,477
0.28,400
0.29,330
0.3,283
0.31,251
0.32,212
0.33,214
0.34,162
0.35,259
0.36,390
0.37,248
0.38,111
0.39,121
0.4,81
0.41,80
0.42,68
0.43,81
0.44,61
0.45,57
0.46,60
0.47,37
0.48,50
0.49,22
0.5,30
0.51,33
0.52,29
0.53,25
0.54,17
0.55,15
0.56,12
0.57,6
0.58,9
0.59,8
0.6,3
0.61,3
0.62,3
0.63,5
0.64,2
0.65,3
0.66,3
0.67,1
0.68,2
0.69,1
0.7,3
0.71,1
0.72,2
0.74,1
0.75,1
0.76,1
0.81,1
