J_Value,Count
0.5,75
0.6,3848
0.7,37203
0.8,67448
0.9,162487
1.0,41670
1.1,34823
1.2,31333
1.3,53267
1.4,53477
1.5,46506
1.6,54414
1.7,30316
1.8,33587
1.9,26498
2.0,42933
2.1,66963
2.2,89830
2.3,12802
2.4,18059
2.5,15342
2.6,14556
2.7,9153
2.8,8943
2.9,10927
3.0,6686
3.1,14716
3.2,7821
3.3,15112
3.4,8788
3.5,20399
3.6,13131
3.7,16855
3.8,19708
3.9,16424
4.0,22009
4.1,12712
4.2,24147
4.3,14042
4.4,23567
4.5,15313
4.6,26495
4.7,19951
4.8,36342
4.9,23919
5.0,27395
5.1,32122
5.2,18841
5.3,31982
5.4,16725
5.5,34780
5.6,22142
5.7,41426
5.8,26948
5.9,32783
6.0,44764
6.1,21878
6.2,38562
6.3,28926
6.4,51691
6.5,22658
6.6,45528
6.7,20958
6.8,33083
6.9,19476
7.0,40211
7.1,36425
7.2,26697
7.3,36618
7.4,21079
7.5,43591
7.6,23062
7.7,45095
7.8,29615
7.9,45520
8.0,28832
8.1,45830
8.2,49059
8.3,22095
8.4,37901
8.5,18402
8.6,33712
8.7,14613
8.8,25671
8.9,11123
9.0,14718
9.1,6748
9.2,9938
9.3,7388
9.4,2716
9.5,4569
9.6,1826
9.7,4241
9.8,1686
9.9,3810
10.0,1515
10.1,6674
10.2,6385
10.3,2948
10.4,4414
10.5,1618
10.6,3850
10.7,1702
10.8,5254
10.9,1922
11.0,6186
11.1,2368
11.2,7186
11.3,7395
11.4,5328
11.5,7552
11.6,2814
11.7,7092
11.8,2734
11.9,9250
12.0,2568
12.1,21492
12.2,5833
12.3,10020
12.4,9794
12.5,3300
12.6,9808
12.7,2738
12.8,10955
12.9,2480
13.0,12127
13.1,2721
13.2,9501
13.3,3085
13.4,10199
13.5,3452
13.6,8146
13.7,8528
13.8,2892
13.9,8824
14.0,2142
14.1,9070
14.2,2460
14.3,6326
14.4,1715
14.5,5130
14.6,2269
14.7,4284
14.8,4996
14.9,1025
15.0,4159
15.1,1029
15.2,3708
15.3,820
15.4,3212
15.5,731
15.6,2932
15.7,1203
15.8,2473
15.9,2783
16.0,763
16.1,3038
16.2,1117
16.3,3607
16.4,759
16.5,2901
16.6,927
16.7,2320
16.8,1356
16.9,2722
17.0,2822
17.1,600
17.2,1722
17.3,481
17.4,677
17.5,145
17.6,555
17.7,106
17.8,522
17.9,379
18.0,44
18.1,152
18.2,41
18.3,97
18.4,41
18.5,109
18.6,46
18.7,114
18.8,60
18.9,97
19.0,50
19.1,64
19.2,80
19.3,33
19.4,79
19.5,23
19.6,47
19.7,21
19.8,61
19.9,35
20.0,35
20.1,53
20.2,14
20.3,77
20.4,21
20.5,43
20.6,16
20.7,31
20.8,16
20.9,76
21.0,13
21.1,34
21.2,73
21.3,8
21.4,47
21.5,20
21.6,38
21.7,8
21.8,32
21.9,30
22.0,39
22.1,54
22.2,77
22.3,39
22.4,18
22.5,27
22.6,21
22.7,26
22.8,10
22.9,40
23.0,9
23.1,134
23.2,25
23.3,44
23.4,66
23.5,10
23.6,16
23.7,8
23.8,15
23.9,2
24.0,15
24.1,13
24.2,16
24.3,5
24.4,23
24.5,25
24.6,9
24.7,21
24.8,2
24.9,11
25.0,14
25.1,23
25.2,9
25.3,28
25.4,88
25.5,21
25.6,19
25.7,3
25.8,22
25.9,2
26.0,19
26.1,4
26.2,18
26.3,3
26.4,19
26.5,10
26.6,8
26.7,6
26.8,4
26.9,8
27.0,6
27.1,8
27.2,4
27.3,12
27.4,8
27.5,4
27.6,8
27.7,9
27.8,22
27.9,7
28.0,9
28.1,1
28.2,9
28.3,5
28.4,10
28.5,1
28.6,20
28.7,3
28.8,4
28.9,3
29.0,5
29.1,22
29.2,6
29.3,10
29.4,3
29.5,3
29.6,1
29.7,7
29.8,1
29.9,32
30.0,6
30.1,1
30.2,1
30.3,17
30.4,2
30.5,1
30.6,7
30.8,12
30.9,8
31.0,2
31.1,4
31.2,3
31.3,3
31.4,2
31.5,6
31.7,7
31.8,1
31.9,2
32.0,1
32.1,1
32.2,4
32.4,1
32.5,2
32.6,1
32.7,2
32.8,10
33.0,2
33.1,1
33.2,8
33.3,9
33.4,1
33.5,3
33.6,6
33.7,7
33.9,2
34.0,2
34.1,3
34.2,3
34.3,1
34.5,1
34.6,1
34.8,1
35.0,1
35.1,1
35.2,3
35.5,7
35.7,6
35.8,3
35.9,1
36.1,3
36.2,2
36.3,6
36.4,1
36.5,5
36.6,1
36.7,1
36.8,2
37.2,4
37.3,1
37.4,5
37.5,3
37.6,1
37.7,3
37.9,2
38.1,1
38.2,1
38.3,2
38.5,2
38.6,1
38.7,2
38.8,3
38.9,1
39.0,1
39.2,1
39.4,3
39.5,1
39.6,2
39.7,2
40.0,1
40.1,2
40.3,1
40.5,1
40.7,3
40.8,4
40.9,1
41.0,4
41.2,1
41.4,1
41.5,2
41.6,1
41.8,1
42.1,1
42.3,2
42.5,1
43.2,1
43.8,1
44.0,1
44.1,2
44.5,2
44.6,2
44.7,5
44.9,1
45.1,3
45.6,1
45.8,2
46.3,3
46.4,1
46.7,1
46.9,1
48.0,3
48.2,2
48.4,1
49.6,1
53.5,1
53.6,1
56.4,1
57.1,1
57.3,1
57.5,1
58.4,2
58.8,1
61.2,1
62.8,1
63.1,1
63.4,1
64.8,1
