Type,Count
s,498080
q,69780
m,718969
d,411822
dt,103703
tt,46160
dd,297697
p,40127
ddt,58645
dtd,19680
td,62360
t,274278
ddd,139017
qt,7976
dq,41867
dtdd,1541
ddddt,182
qd,8546
hept,7125
dtq,770
dhept,650
dp,13959
tdp,99
dddd,37838
dtt,7309
tdt,1522
dddt,4228
tdq,487
qq,658
ddq,8376
dh,1573
tdd,3227
pd,4653
h,7229
tq,4753
ddddd,1556
dqt,515
pt,2094
ttd,1717
heptd,519
dqd,5475
qdd,612
ddtd,2087
tddd,530
qtd,154
hd,438
tp,1766
pq,592
dddtd,37
ttt,258
ddp,805
ttdt,34
dtdq,59
ddtq,129
dddq,524
dqdd,119
dtddd,41
qddd,38
qdt,227
tqt,35
ddtdd,49
dtdt,432
ddtt,408
dtp,118
ddddq,71
ttdd,90
dddp,107
ttq,324
th,251
tpd,15
ddqt,60
dddddd,18
ht,118
hdd,47
ddqd,78
dttd,47
tqd,77
qp,81
dpd,277
qdq,56
tdtd,11
tddt,113
ddh,86
dqq,56
pdd,66
ddtdt,7
dtddt,26
qtt,11
dddddt,12
dpdd,15
qddt,9
tddq,18
dqdt,10
dddtt,20
tddtd,1
pdt,14
tttd,3
dpt,15
dttt,18
dhd,5
tdtt,7
tdddd,4
ptd,2
tdddt,1
dddqd,1
ddddtd,1
qqd,1
dtqd,1
dtdtd,1
tqdd,1
