Value,Count
-1.91,1
-1.18,1
-1.07,1
-1.02,2
-1.0,1
-0.99,2
-0.75,1
-0.69,1
-0.63,1
-0.52,1
-0.45,1
-0.39,1
-0.33,1
-0.31,1
-0.26,1
-0.16,1
-0.13,1
-0.12,3
0.11,3
0.12,12
0.13,41
0.14,5
0.15,2
0.16,37
0.17,11
0.18,7
0.19,7
0.2,77
0.21,1
0.22,4
0.23,72
0.24,172
0.25,24
0.26,84
0.27,17
0.28,54
0.29,105
0.3,206
0.31,105
0.32,177
0.33,264
0.34,202
0.35,151
0.36,160
0.37,100
0.38,173
0.39,199
0.4,99
0.41,145
0.42,771
0.43,65
0.44,153
0.45,365
0.46,255
0.47,72
0.48,95
0.49,114
0.5,112
0.51,128
0.52,120
0.53,280
0.54,230
0.55,137
0.56,384
0.57,252
0.58,272
0.59,216
0.6,242
0.61,245
0.62,113
0.63,94
0.64,191
0.65,382
0.66,316
0.67,940
0.68,769
0.69,216
0.7,477
0.71,166
0.72,259
0.73,203
0.74,254
0.75,53
0.76,292
0.77,280
0.78,576
0.79,550
0.8,547
0.81,525
0.82,755
0.83,1010
0.84,1338
0.85,1485
0.86,1915
0.87,1256
0.88,3023
0.89,9728
0.9,6156
0.91,3351
0.92,4098
0.93,4823
0.94,4871
0.95,3427
0.96,2790
0.97,3663
0.98,3805
0.99,2522
1.0,2547
1.01,1427
1.02,3455
1.03,1550
1.04,2864
1.05,1148
1.06,3778
1.07,1281
1.08,2948
1.09,1684
1.1,2019
1.11,2252
1.12,2103
1.13,1112
1.14,2511
1.15,2977
1.16,2032
1.17,3843
1.18,2518
1.19,6994
1.2,2364
1.21,6910
1.22,2970
1.23,7773
1.24,8623
1.25,11828
1.26,3624
1.27,12015
1.28,4645
1.29,10807
1.3,3394
1.31,9013
1.32,4308
1.33,11065
1.34,5662
1.35,7845
1.36,10355
1.37,3356
1.38,5166
1.39,5386
1.4,14691
1.41,11178
1.42,12781
1.43,5579
1.44,10769
1.45,3394
1.46,28881
1.47,3393
1.48,8077
1.49,2795
1.5,6869
1.51,2554
1.52,7891
1.53,2737
1.54,8654
1.55,4158
1.56,9396
1.57,5845
1.58,7710
1.59,5478
1.6,7777
1.61,7563
1.62,6571
1.63,3261
1.64,6707
1.65,6829
1.66,5200
1.67,7826
1.68,5266
1.69,9566
1.7,3369
1.71,8970
1.72,3143
1.73,9618
1.74,3198
1.75,9699
1.76,3644
1.77,10656
1.78,3793
1.79,9525
1.8,3280
1.81,8393
1.82,4440
1.83,8327
1.84,6529
1.85,7085
1.86,6541
1.87,3744
1.88,6889
1.89,7214
1.9,7485
1.91,6887
1.92,7898
1.93,4581
1.94,9826
1.95,4126
1.96,7940
1.97,4648
1.98,7235
1.99,4344
2.0,7142
2.01,4459
2.02,7686
2.03,3381
2.04,8873
2.05,5473
2.06,5906
2.07,3647
2.08,9206
2.09,6685
2.1,5722
2.11,3108
2.12,8603
2.13,5756
2.14,2542
2.15,6086
2.16,6784
2.17,8056
2.18,2846
2.19,5526
2.2,5260
2.21,8153
2.22,3653
2.23,6674
2.24,5432
2.25,7937
2.26,5585
2.27,7102
2.28,4867
2.29,10271
2.3,7233
2.31,8476
2.32,3608
2.33,12555
2.34,7587
2.35,7487
2.36,4568
2.37,7330
2.38,10369
2.39,5722
2.4,7322
2.41,6114
2.42,9554
2.43,3999
2.44,6562
2.45,6005
2.46,9840
2.47,3590
2.48,6346
2.49,4937
2.5,9876
2.51,4688
2.52,6086
2.53,3625
2.54,7806
2.55,5955
2.56,5807
2.57,2729
2.58,9473
2.59,6797
2.6,6625
2.61,3656
2.62,10124
2.63,6861
2.64,3161
2.65,6549
2.66,5650
2.67,9049
2.68,3043
2.69,7010
2.7,6447
2.71,10425
2.72,4831
2.73,7562
2.74,5739
2.75,10892
2.76,5474
2.77,7384
2.78,5297
2.79,10743
2.8,7700
2.81,8254
2.82,3774
2.83,11067
2.84,7695
2.85,7622
2.86,4101
2.87,7290
2.88,11236
2.89,4506
2.9,7659
2.91,8554
2.92,12760
2.93,5185
2.94,7773
2.95,7403
2.96,9476
2.97,5085
2.98,7308
2.99,5636
3.0,10997
3.01,5249
3.02,6830
3.03,4098
3.04,8521
3.05,5757
3.06,6208
3.07,2854
3.08,7977
3.09,5288
3.1,4760
3.11,2577
3.12,7188
3.13,4690
3.14,2489
3.15,4847
3.16,4903
3.17,6614
3.18,2660
3.19,4235
3.2,5282
3.21,7215
3.22,3341
3.23,4444
3.24,5486
3.25,6421
3.26,3613
3.27,5841
3.28,3766
3.29,7881
3.3,6128
3.31,5751
3.32,2474
3.33,9197
3.34,5308
3.35,5945
3.36,2871
3.37,5833
3.38,10762
3.39,3089
3.4,7202
3.41,6517
3.42,8044
3.43,2586
3.44,5822
3.45,5352
3.46,8441
3.47,3563
3.48,5746
3.49,5455
3.5,9469
3.51,4276
3.52,7540
3.53,4507
3.54,10103
3.55,8147
3.56,7562
3.57,3504
3.58,11456
3.59,7863
3.6,8061
3.61,3835
3.62,10939
3.63,7573
3.64,6104
3.65,8560
3.66,10189
3.67,13040
3.68,4123
3.69,8640
3.7,10269
3.71,13707
3.72,5595
3.73,9124
3.74,6378
3.75,10806
3.76,7399
3.77,11199
3.78,6707
3.79,14618
3.8,19228
3.81,10318
3.82,5029
3.83,18834
3.84,9869
3.85,13455
3.86,6864
3.87,12979
3.88,24560
3.89,4261
3.9,9804
3.91,11219
3.92,13269
3.93,3798
3.94,7421
3.95,6538
3.96,11624
3.97,4422
3.98,7713
3.99,4883
4.0,9374
4.01,4089
4.02,5226
4.03,5738
4.04,8691
4.05,5753
4.06,5127
4.07,4546
4.08,7443
4.09,4058
4.1,4791
4.11,6132
4.12,9908
4.13,9117
4.14,7616
4.15,4653
4.16,4248
4.17,7406
4.18,4548
4.19,6882
4.2,5345
4.21,8561
4.22,5418
4.23,4952
4.24,3220
4.25,5501
4.26,4103
4.27,4717
4.28,4199
4.29,6021
4.3,4311
4.31,5679
4.32,2968
4.33,5241
4.34,2962
4.35,3227
4.36,3898
4.37,4814
4.38,8347
4.39,3794
4.4,2616
4.41,2199
4.42,3746
4.43,2689
4.44,3193
4.45,3589
4.46,5595
4.47,3459
4.48,3315
4.49,2226
4.5,4308
4.51,2345
4.52,3029
4.53,3085
4.54,5527
4.55,3365
4.56,3374
4.57,2981
4.58,3948
4.59,2042
4.6,3437
4.61,3163
4.62,4923
4.63,3615
4.64,3162
4.65,3348
4.66,2025
4.67,3550
4.68,3078
4.69,3512
4.7,3101
4.71,4619
4.72,2910
4.73,2799
4.74,2165
4.75,3040
4.76,2041
4.77,2915
4.78,2758
4.79,3916
4.8,2578
4.81,2517
4.82,1874
4.83,2607
4.84,1269
4.85,2030
4.86,2296
4.87,2190
4.88,2692
4.89,1877
4.9,1620
4.91,1243
4.92,2298
4.93,1606
4.94,1999
4.95,2026
4.96,4021
4.97,1985
4.98,1606
4.99,1349
5.0,2367
5.01,1613
5.02,2444
5.03,2264
5.04,4884
5.05,3125
5.06,2681
5.07,3172
5.08,3330
5.09,2434
5.1,2367
5.11,2998
5.12,4449
5.13,2714
5.14,2600
5.15,3576
5.16,1784
5.17,2703
5.18,1718
5.19,2126
5.2,2141
5.21,3292
5.22,2122
5.23,2275
5.24,1589
5.25,4177
5.26,1303
5.27,2053
5.28,2015
5.29,2936
5.3,1527
5.31,1617
5.32,1939
5.33,2075
5.34,961
5.35,1306
5.36,1461
5.37,2510
5.38,2429
5.39,1493
5.4,1358
5.41,1122
5.42,1701
5.43,1657
5.44,1449
5.45,1574
5.46,2089
5.47,1540
5.48,1475
5.49,1117
5.5,1694
5.51,942
5.52,1344
5.53,1241
5.54,1850
5.55,1469
5.56,1323
5.57,1051
5.58,1272
5.59,803
5.6,1121
5.61,1317
5.62,1817
5.63,1243
5.64,1344
5.65,1234
5.66,797
5.67,1260
5.68,1063
5.69,1292
5.7,1348
5.71,1836
5.72,1338
5.73,1449
5.74,1145
5.75,1584
5.76,1145
5.77,1295
5.78,1744
5.79,2496
5.8,1489
5.81,1463
5.82,1216
5.83,1597
5.84,827
5.85,1366
5.86,1302
5.87,1276
5.88,2441
5.89,1781
5.9,1696
5.91,1022
5.92,2549
5.93,2035
5.94,1867
5.95,1714
5.96,2550
5.97,1489
5.98,1301
5.99,1088
6.0,1576
6.01,909
6.02,1523
6.03,1386
6.04,2927
6.05,1555
6.06,1223
6.07,1321
6.08,1495
6.09,850
6.1,1384
6.11,1362
6.12,2283
6.13,1440
6.14,1707
6.15,1459
6.16,931
6.17,1381
6.18,1391
6.19,1465
6.2,1798
6.21,2382
6.22,1557
6.23,1461
6.24,1353
6.25,2111
6.26,1146
6.27,1683
6.28,1446
6.29,2499
6.3,1704
6.31,1622
6.32,1605
6.33,1899
6.34,1109
6.35,1867
6.36,2052
6.37,2334
6.38,2967
6.39,2408
6.4,1798
6.41,1539
6.42,2615
6.43,2318
6.44,2319
6.45,2640
6.46,3540
6.47,2469
6.48,2343
6.49,2134
6.5,2839
6.51,2054
6.52,3392
6.53,3330
6.54,4520
6.55,3113
6.56,3227
6.57,3474
6.58,4093
6.59,2317
6.6,4032
6.61,4024
6.62,5888
6.63,4696
6.64,4571
6.65,4156
6.66,2886
6.67,4710
6.68,4380
6.69,5178
6.7,5455
6.71,7613
6.72,5583
6.73,5558
6.74,4472
6.75,5433
6.76,5263
6.77,6040
6.78,6436
6.79,10409
6.8,8558
6.81,8151
6.82,7803
6.83,10279
6.84,5509
6.85,8100
6.86,9338
6.87,10031
6.88,15529
6.89,11125
6.9,8848
6.91,6052
6.92,11676
6.93,8248
6.94,9861
6.95,9590
6.96,15537
6.97,10631
6.98,10469
6.99,8654
7.0,12611
7.01,10206
7.02,11216
7.03,12080
7.04,16640
7.05,11886
7.06,11451
7.07,10277
7.08,14074
7.09,8661
7.1,10569
7.11,13910
7.12,21543
7.13,14458
7.14,15734
7.15,12531
7.16,10662
7.17,17350
7.18,13024
7.19,17131
7.2,16306
7.21,27445
7.22,19107
7.23,18397
7.24,14782
7.25,21231
7.26,14449
7.27,19534
7.28,22424
7.29,42130
7.3,21893
7.31,25506
7.32,17003
7.33,24775
7.34,14607
7.35,18181
7.36,19708
7.37,22617
7.38,32499
7.39,18351
7.4,18870
7.41,13371
7.42,21222
7.43,14388
7.44,18388
7.45,19402
7.46,27705
7.47,15812
7.48,16630
7.49,12705
7.5,17098
7.51,12487
7.52,16633
7.53,15397
7.54,22397
7.55,15795
7.56,15125
7.57,12938
7.58,17262
7.59,9729
7.6,11049
7.61,13359
7.62,20328
7.63,13232
7.64,13517
7.65,11603
7.66,8123
7.67,12915
7.68,10061
7.69,11932
7.7,12055
7.71,19710
7.72,12190
7.73,11574
7.74,9221
7.75,11025
7.76,9674
7.77,11052
7.78,11553
7.79,17209
7.8,11633
7.81,12565
7.82,9851
7.83,11958
7.84,5940
7.85,9104
7.86,10432
7.87,10341
7.88,14378
7.89,10008
7.9,9219
7.91,6045
7.92,10931
7.93,9004
7.94,9490
7.95,9339
7.96,11845
7.97,8258
7.98,7590
7.99,6926
8.0,8100
8.01,4207
8.02,8066
8.03,6048
8.04,9445
8.05,5877
8.06,4827
8.07,7181
8.08,3135
8.09,8026
8.1,3310
8.11,5752
8.12,7671
8.13,4957
8.14,5052
8.15,2922
8.16,7229
8.17,2652
8.18,5998
8.19,3627
8.2,4562
8.21,7646
8.22,3316
8.23,5427
8.24,2391
8.25,6030
8.26,2154
8.27,4991
8.28,3016
8.29,5487
8.3,3682
8.31,2560
8.32,4712
8.33,2173
8.34,5948
8.35,2001
8.36,3730
8.37,3585
8.38,4880
8.39,3674
8.4,1926
8.41,5201
8.42,2147
8.43,4767
8.44,2334
8.45,3113
8.46,5474
8.47,3247
8.48,4818
8.49,2143
8.5,6147
8.51,1979
8.52,4796
8.53,2510
8.54,5405
8.55,3191
8.56,2358
8.57,4685
8.58,1961
8.59,4813
8.6,1456
8.61,2832
8.62,5002
8.63,3271
8.64,3885
8.65,1662
8.66,4774
8.67,1493
8.68,4011
8.69,1701
8.7,2725
8.71,3796
8.72,1761
8.73,3144
8.74,1083
8.75,2825
8.76,1096
8.77,2980
8.78,1564
8.79,2936
8.8,1963
8.81,1150
8.82,2435
8.83,857
8.84,2667
8.85,789
8.86,1680
8.87,1776
8.88,2572
8.89,1623
8.9,889
8.91,2228
8.92,817
8.93,1910
8.94,1040
8.95,1444
8.96,2017
8.97,914
8.98,1720
8.99,764
9.0,1931
9.01,690
9.02,1786
9.03,779
9.04,1679
9.05,1110
9.06,919
9.07,1411
9.08,508
9.09,1510
9.1,565
9.11,1315
9.12,1440
9.13,998
9.14,1010
9.15,529
9.16,1505
9.17,657
9.18,1427
9.19,504
9.2,806
9.21,1187
9.22,624
9.23,1220
9.24,565
9.25,1185
9.26,590
9.27,1183
9.28,482
9.29,1296
9.3,1074
9.31,387
9.32,1056
9.33,406
9.34,939
9.35,346
9.36,590
9.37,700
9.38,886
9.39,717
9.4,304
9.41,943
9.42,283
9.43,876
9.44,289
9.45,560
9.46,884
9.47,351
9.48,920
9.49,448
9.5,999
9.51,427
9.52,869
9.53,343
9.54,821
9.55,636
9.56,336
9.57,739
9.58,345
9.59,873
9.6,337
9.61,632
9.62,1017
9.63,556
9.64,674
9.65,330
9.66,863
9.67,359
9.68,791
9.69,433
9.7,615
9.71,747
9.72,459
9.73,904
9.74,367
9.75,691
9.76,395
9.77,810
9.78,293
9.79,890
9.8,494
9.81,348
9.82,773
9.83,324
9.84,1105
9.85,265
9.86,664
9.87,1127
9.88,848
9.89,620
9.9,235
9.91,1018
9.92,341
9.93,1312
9.94,369
9.95,1561
9.96,1299
9.97,249
9.98,900
9.99,265
10.0,237
